ServiceApprovalNumber,"Provider Approval Number",ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,"Conditions on Approval",NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,"Last Service Approval Transfer Date","Last Visit Date","Long Day Care","Preschool/Kindergarten - Part of a School","Preschool/Kindergarten - Stand alone","Outside school Hours Care - After School","Outside school Hours Care - Before School","Outside school Hours Care - Vacation Care",Other,"Annual Monday Start Time","Annual Monday End Time","Annual Tuesday Start Time","Annual Tuesday End Time","Annual Wednesday Start Time","Annual Wednesday End Time","Annual Thursday Start Time","Annual Thursday End Time","Annual Friday Start Time","Annual Friday End Time","Annual Saturday Start Time","Annual Saturday End Time","Annual Sunday Start Time","Annual Sunday End Time","School Terms Only Session 1 Monday Start Time","School Terms Only Session 1 Monday End Time","School Terms Only Session 1 Tuesday Start Time","School Terms Only Session 1 Tuesday End Time","School Terms Only Session1 Wednesday Start Time","School Terms Only Session1 Wednesday End Time","School Terms Only Session1 Thursday Start Time","School Terms Only Session1 Thursday End Time","School Terms Only Session 1 Friday Start Time","School Terms Only Session 1 Friday End Time","School Terms Only Session 1 Saturday Start Time","School Terms Only Session 1 Saturday End Time","School Terms Only Session1 Sunday Start Time","School Terms Only Session 1 Sunday End Time","School Terms Only Session 2 Monday Start Time","School Terms Only Session 2 Monday End Time","School Terms Only Session 2 Tuesday Start Time","School Terms Only Session 2 Tuesday End Time","School Terms Only Session 2 Wednesday Start Time","School Terms Only Session 2 Wednesday End Time","School Terms Only Session 2 Thursday Start Time","School Terms Only Session2 Thursday End Time","School Terms Only Session 2 Friday Start Time","School Terms Only Session 2 Friday End Time","School Terms Only Session 2 Saturday Start Time","School Terms Only Session 2 Saturday End Time","School Terms Only Session 2 Sunday Start Time","School Terms Only Session 2 Sunday End Time","Holiday Care Monday Start Time","Holiday Care Monday End Time","Holiday Care Tuesday Start Time","Holiday Care Tuesday End Time","Holiday Care Wednesday Start Time","Holiday Care Wednesday End Time","Holiday Care Thursday Start Time","Holiday Care Thursday End Time","Holiday Care Friday Start Time","Holiday Care Friday End Time","Holiday Care Saturday Start Time","Holiday Care Saturday End Time","Holiday Care Sunday Start Time","Holiday Care Sunday End Time","Temporarily Closed"
SE-00011549,PR-00006723,"Vaucluse Out of School Care","Vaucluse Out of School Care Centre Inc.","Centre-Based Care","Vaucluse Public School, Cambridge Avenue",VAUCLUSE,NSW,2030,0293373031,,,70,28/05/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jun 2021","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","May 2016",,"July 2025",No,No,No,Yes,Yes,Yes,No,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,,,,,07:30,09:30,07:30,09:30,07:30,09:30,07:30,09:30,07:30,09:30,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,,,,,No
SE-00011551,PR-00003575,"Children First - Hassall Grove Outside School Hours","Growing Potential LTD.","Centre-Based Care","185 Buckwell Ave","HASSALL GROVE",NSW,2761,0296288276,0296289563,,60,18/06/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jul 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2019",,"July 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,14:30,18:30,14:30,18:30,14:30,18:30,14:30,18:30,14:30,18:30,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,,,,,No
SE-00011552,PR-00003575,"Children First - Shelley Outside School Hours","Growing Potential LTD.","Centre-Based Care","Shelley Public School, Hadrian Ave",BLACKTOWN,NSW,2148,0296212022,0296212772,"The approved provider must ensure that the education and care service only provides education and care for children over preschool age. The approved provider must ensure that, for each child being educated and cared for by the service, the education and care service premises has at least 2.78 square metres of unencumbered indoor space.",60,14/06/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2024","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Feb 2021",,"September 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,,,,,No
SE-00011553,PR-00003532,"Waitara Childrens Services Outside School Hours Care","Catholiccare Diocese of Broken Bay","Centre-Based Care","Our Lady of the Rosary Primary School, 23 Yardley Avenue",WAITARA,NSW,2077,"0418 637 541",0294878144,,150,03/09/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jun 2021","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Jul 2016",,"January 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,No
SE-00011554,PR-00003532,"Our Lady of Good Counsel Outside School Hours Care","Catholiccare Diocese of Broken Bay","Centre-Based Care","Our Lady of Good Counsel Primary School, 11 Currie Road",FORESTVILLE,NSW,2087,0400787186,0294511325,,105,03/10/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jun 2022","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Mar 2017",,"July 2024",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,14:30,18:00,14:30,18:00,14:30,18:00,14:30,18:00,14:30,18:00,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,No
SE-00011555,PR-00003532,"St John the Baptist Outside School Hours Care","Catholiccare Diocese of Broken Bay","Centre-Based Care","St John the Baptist Primary School, 7 Johnson Street",FRESHWATER,NSW,2096,0427716593,,,60,22/11/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Sep 2020","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2016",,"December 2025",No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,,,,,,,,,,,,,,,No
SE-00011558,PR-00006727,"Holy Cross OSHC Centre","PRIMARY OSHCARE PTY LTD","Centre-Based Care","Holy Cross Catholic Primary School, 81 Edgecliff Road","BONDI JUNCTION",NSW,2022,"0430 647 041",,,70,02/09/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2021","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Oct 2016",,"June 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,Yes
SE-00011562,PR-00007692,"3Bridges Community Mascot","3Bridges Community Limited","Centre-Based Care","Mascot Public School, King Street",MASCOT,NSW,2020,1300327434,0293415468,,66,05/09/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jun 2023","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Aug 2018",06/02/2018,"March 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-00011566,PR-40024654,"St Marks Vacation Care Ltd","ST MARKS VACATION CARE LTD","Centre-Based Care","51 Station Street",ARNCLIFFE,NSW,2205,0448619864,,,50,04/04/2013,"Meeting NQS","Working Towards NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Oct 2022","Working Towards NQS","Meeting NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Jun 2016",13/12/2021,"October 2025",No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,,,,,No
SE-00011568,PR-00006733,"Flying Start","Mad Sports Pty Ltd","Centre-Based Care","St Anthony's Primary School, Pearl Street",KINGSCLIFF,NSW,2487,0266742028,,"The approved provider must ensure that the education and care service provides education and care for a maximum of 40 children preschool age or under. The service must notify the Regulatory Authority within seven working days regarding any changes to the unencumbered indoor play space in line with Regulation 107 The approved provider must ensure that:
- for each child being educated and cared for by the service that is preschool age or under, the service premises has at least 3.25 square metres of unencumbered indoor space; and
- for each child being educated and cared for by the service that is over preschool age, the service premises has at least 3.19 square metres of unencumbered indoor space.
 The approved provider must ensure that the education and care service provides education and care for a maximum of 61 children during Before School Care.",120,14/02/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","May 2023","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2018",,"October 2025",Yes,No,Yes,Yes,Yes,Yes,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
SE-00011569,PR-00010422,"Play and Potential Early Education - Toongabbie","WELLKIN HEALTH PTY LTD","Centre-Based Care","3 Reynolds Street",TOONGABBIE,NSW,2146,0296312449,,,47,15/05/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2023","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Nov 2017",27/10/2025,"December 2025",Yes,No,No,No,No,No,No,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
SE-00011572,PR-40004402,"Trinity Grammar Junior School Summer Hill OSHClub","OSHCLUB PTY LTD","Centre-Based Care","119 Prospect Road","SUMMER HILL",NSW,2130,0448003011,,,40,12/12/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","May 2023","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Aug 2017",01/07/2015,"May 2025",No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
SE-00011577,PR-00009398,"Mini Scholars Early Learning Centre","ACN GROUP PTY LTD","Centre-Based Care","11 Rose Street",SEFTON,NSW,2162,(02)96447172,,,30,16/05/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Aug 2022","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2017",01/09/2025,"December 2024",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00011580,PR-00006747,"Epping Heights Out of School Hours Care Inc","EPPING HEIGHTS OUT OF SCHOOL CARE SERVICE","Centre-Based Care","Epping Heights Public School, 128 Kent Street",EPPING,NSW,2121,0298690602,,"The approved provider must ensure that the education and care service only provides education and care for children over preschool age. The approved provider must ensure that, for each child being educated and cared for by the service, the education and care service premises has at least 2.31 square metres of unencumbered indoor space.",154,30/05/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jun 2021","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Aug 2016",,"August 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,15:05,18:00,15:05,18:00,15:05,18:00,15:05,18:00,15:05,18:00,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-00011582,PR-00006751,"Homebush out of school care incorporated","HOMEBUSH OUT OF SCHOOL HOURS","Centre-Based Care","25 Broughton Road",STRATHFIELD,NSW,2135,0297641773,0297461772,,95,12/09/2012,"Exceeding NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Sep 2025","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Jan 2019",,"June 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,No
SE-00011584,PR-40011145,"St Paul's Grammar School Penrith TheirCare","TheirCare Pty Ltd","Centre-Based Care","St Paul's Grammar School, 52 Taylor Road",CRANEBROOK,NSW,2753,1300072410,0247774841,,100,03/10/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jul 2024","Meeting NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Jul 2021",09/10/2023,"August 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,Yes
SE-00011585,PR-40002234,"TeamKids - Ryde Public School","TEAM HOLIDAY PTY LTD","Centre-Based Care","2 Tucker St",RYDE,NSW,2112,1300035000,,,150,20/02/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Sep 2023","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","May 2018",13/01/2025,"June 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,,,,,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,,,,,No
SE-00011621,PR-00005683,"YMCA Brooke Ave OSHC","Young Men's Christian Association of Sydney","Centre-Based Care","Brooke Avenue","KILLARNEY VALE",NSW,2261,,,"•	The approved provider must ensure that the education and care service only provides education and care for children over preschool age.  •	The approved provider must ensure that, for each child being educated and cared for by the service, the education and care service premises has at least 3.20 square metres of unencumbered indoor space.   ",90,22/05/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2024","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2019",,"August 2025",No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,14:50,18:00,14:50,18:00,14:50,18:00,14:50,18:00,14:50,18:00,,,,,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,,,,,,,,,,,,,,,,,,,No
SE-00011622,PR-00004036,"St Nicholas OOSH Rutherford","Trustees of The Roman Catholic Church for the Diocese of Maitland-Newcastle","Centre-Based Care","St Paul's Primary School, 90A Giles Street",RUTHERFORD,NSW,2320,0473633077,,,80,31/05/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2024","Meeting NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Apr 2024",11/11/2019,"December 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,,,,,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,,,,,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,No
SE-00011625,PR-00004547,"KU Koala Preschool","KU Children's Services","Centre-Based Care","61 Murray Street","WAGGA WAGGA",NSW,2650,0269212669,0269212669,,40,27/04/2012,"Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Nov 2023","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Dec 2018",,"February 2025",No,No,Yes,No,No,No,No,08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
SE-00011628,PR-00006777,"Collith Avenue BASC Pty Ltd","Collith Avenue BASC Pty Ltd","Centre-Based Care","50 Collith Avenue","SOUTH WINDSOR",NSW,2756,0245773480,0245774520,,60,28/10/2013,"Meeting NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Jul 2024","Working Towards NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Apr 2020",,"October 2025",Yes,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,09:30,06:30,09:30,06:30,09:30,06:30,09:30,06:30,09:30,,,,,14:30,18:30,14:30,18:30,14:30,18:30,14:30,18:30,14:30,18:30,,,,,06:15,18:30,06:15,18:30,06:15,18:30,06:15,18:30,06:15,18:30,,,,,No
SE-00011629,PR-40035167,"Tharawal Before and After School Care","THARAWAL PRIMARY SCHOOL PARENTS AND CITIZENS ASSOCIATION","Centre-Based Care","Tharawal Public School, 70 Gerald Road",ILLAWONG,NSW,2234,,,,90,19/06/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2021","Meeting NQS","Working Towards NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Apr 2018",30/09/2024,"June 2025",No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,,,,,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,,,,,,,,,,,,,,,,,,,No
SE-00011634,PR-00006780,"Kariong Neighbourhood Centre","Kariong Neighbourhood Centre Incorporated","Centre-Based Care","10 Langford Drive",KARIONG,NSW,2250,0243404561,0243404595,,75,26/09/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Sep 2019",,"February 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,09:00,12:00,,,,,06:30,09:00,06:30,09:00,06:30,09:00,06:30,09:00,06:30,09:00,,,,,14:30,18:30,15:00,18:30,14:30,18:30,14:30,18:30,15:00,18:30,,,,,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,No
SE-00011636,PR-00002539,"Camp Australia - Belmont Christian College OSHC","Camp Australia Pty Limited","Centre-Based Care","65 John Fisher Road","BELMONT NORTH",NSW,2280,0450776803,,,42,04/07/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jun 2024","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Sep 2019",29/01/2019,"February 2025",No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,07:00,08:40,07:00,08:40,07:00,08:40,07:00,08:40,07:00,08:50,,,,,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,,,,,,,,,,,,,,,,,,,No
SE-00011639,PR-00006786,ROOSH,"Ryde Baptist Church Incorporated","Centre-Based Care","61-69 Lane Cove Road",RYDE,NSW,2112,"02 9809 4977",,,75,04/06/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2023","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2018",,"April 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,07:15,08:45,07:15,08:45,07:15,08:45,07:15,08:45,07:15,08:45,,,,,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,No
SE-00011641,PR-00004427,"Adelong Preschool","Adelong Pre School Inc","Centre-Based Care","50 Lynch Street",ADELONG,NSW,2729,0269462631,,,30,04/06/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Apr 2025","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Sep 2019",,"March 2025",No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00011642,PR-00003532,"St Kierans Outside School Hours Care","Catholiccare Diocese of Broken Bay","Centre-Based Care","St Kieran's School, 63 Gordon Street","MANLY VALE",NSW,2093,0481602078,,,90,10/04/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jun 2022","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Mar 2017",17/04/2017,"December 2024",No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,,,14:50,18:00,14:50,18:00,14:50,18:00,14:50,18:00,14:50,18:00,,,,,,,,,,,,,,,,,,,Yes
SE-00011643,PR-00000898,"Community Kids Morisset Early Education Centre","G8 Education Limited","Centre-Based Care","9 Kam Cl",MORISSET,NSW,2264,"02 4973 1903",,,150,04/05/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2022","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Mar 2019",19/09/2014,"November 2025",Yes,No,Yes,No,No,No,No,7.00,1800,7.00,1800,7.00,1800,7.00,1800,7.00,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00011646,PR-00006683,"Advanced Kindercare","Advanced Kinder Care Pty. Ltd","Centre-Based Care","14 Faux Street","WILEY PARK",NSW,2195,0297508404,,,31,03/05/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Mar 2021","Meeting NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Jun 2018",,"January 2025",Yes,No,No,No,No,No,No,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00011650,PR-40002234,"TeamKids - Mortlake Public School","TEAM HOLIDAY PTY LTD","Centre-Based Care","Mortlake Public School, Brays Road",CONCORD,NSW,2137,1300035000,,,56,17/07/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jul 2025","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Jul 2019",14/10/2024,"May 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,08:55,07:00,08:55,07:00,08:55,07:00,08:55,07:00,08:55,,,,,14:55,18:15,14:55,18:15,14:55,18:15,14:55,18:15,14:55,18:15,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,Yes
